Date,Channel,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
12/7/2022,Organic Search,10186,6459,0.634105635,64.3910269,6.215000982,63306,59,0.005792264,8835.83
4/6/2024,Direct,10185,1975,0.193912617,30.76622484,6.942758959,70712,138,0.006774669,20705.34
10/14/2022,Organic Search,10181,6455,0.634024163,69.00402711,6.472448679,65896,81,0.007857774,12945.73
6/7/2024,Direct,10174,6366,0.625712601,38.80676234,9.357086692,95199,102,0.009730686,15894.47
2/22/2024,Direct,10169,4617,0.454026945,78.30642148,11.28055856,114712,140,0.013177304,23499.11
12/8/2022,Organic Search,10164,6471,0.636658796,70.15722157,6.453955136,65598,63,0.006198347,9607.82
1/12/2023,Organic Search,10151,6445,0.634912816,69.44291203,6.318195252,64136,69,0.00679736,11783.51
2/10/2023,Organic Search,10149,6679,0.658094394,71.78539758,6.851512464,69536,61,0.006010444,9651.57
12/3/2024,Organic Search,10147,4961,0.488912979,65.77264216,10.31753228,104692,66,0.006504386,13308.76
10/6/2022,Organic Search,10140,6554,0.646351085,72.284714,6.581360947,66735,74,0.00729783,11843.33
1/6/2023,Organic Search,10103,6338,0.627338414,65.87518559,6.289814906,63546,86,0.008512323,12831.03
10/3/2022,Organic Search,10092,6391,0.63327388,69.77764566,6.329766151,63880,80,0.007927071,12227.14
10/24/2022,Organic Search,10088,6553,0.649583664,74.02597145,6.512886598,65702,63,0.006245044,9073.92
11/15/2022,Organic Search,10088,6276,0.622125297,67.71213323,6.294409199,63498,65,0.006344171,10643.24
2/20/2024,Direct,10082,4678,0.463995239,79.08301924,11.54453481,116392,132,0.012993454,19501.39
12/14/2022,Organic Search,10057,6417,0.638063041,70.25653773,6.443173909,64799,83,0.008252958,12576.66
10/26/2022,Organic Search,10056,6355,0.631961018,73.30717979,6.280827367,63160,84,0.008353222,12822.81
11/28/2022,Paid Search,10044,6838,0.68080446,92.69573875,7.445141378,74779,151,0.015033851,25005.71
1/28/2025,Organic Search,10043,5070,0.504829234,67.68186797,10.59235288,106379,53,0.005177736,9208.47
3/4/2023,Organic Search,10039,6314,0.628947106,68.36109174,6.421655543,64467,62,0.006175914,11104.82
9/28/2022,Organic Search,10024,6419,0.640363128,71.48543496,6.304868316,63200,72,0.007182761,10231.65
1/4/2024,Direct,10023,6935,0.69190861,137.8609199,18.0913898,181330,406,0.040007982,57975.42
11/27/2022,Organic Search,10011,6452,0.64449106,73.57976226,6.855458995,68630,99,0.009789232,15389.23
9/26/2022,Organic Search,10005,6323,0.631984008,67.93513243,6.206796602,62099,83,0.008295852,11641.06
11/22/2022,Organic Search,9993,6325,0.63294306,67.81727209,6.369358551,63649,68,0.006804763,11846.76
12/29/2022,Organic Search,9969,6204,0.622329221,66.53004313,6.173939212,61548,95,0.009529542,14059.53
3/30/2024,Direct,9963,2181,0.218909967,36.00401485,7.43099468,74035,145,0.007226739,23006.47
11/23/2022,Organic Search,9955,6211,0.623907584,65.7063787,6.277850326,62496,63,0.006328478,10350.43
1/27/2025,Organic Search,9945,5143,0.517144294,68.57496229,10.35947712,103025,61,0.006133736,7631.55
10/10/2022,Organic Search,9932,6256,0.629883206,67.39548933,6.281312928,62386,56,0.005638341,8152.65
6/6/2024,Direct,9930,6462,0.650755287,45.41137966,10.0407855,99705,109,0.010574018,24480.47
3/12/2024,Direct,9924,2580,0.259975816,41.55380895,7.670395002,76121,72,0.007255139,12053.2
10/13/2023,Direct,9923,3774,0.38032853,60.18431926,9.997279049,99203,155,0.014612516,26640.89
12/15/2022,Organic Search,9920,6069,0.611794355,65.55372984,6.071572581,60230,95,0.009475806,14886.36
1/16/2025,Organic Search,9906,4911,0.495760145,67.07702403,10.3462548,102490,49,0.004946497,6471.03
3/11/2024,Direct,9900,2518,0.254343434,42.21353535,7.776767677,76990,70,0.006969697,12871.27
3/17/2024,Direct,9899,2417,0.244166077,42.16920901,7.700777856,76230,46,0.004646934,7164.91
3/12/2023,Organic Search,9891,6230,0.629865534,66.38337883,6.329188151,62602,63,0.006369427,9742.32
1/15/2025,Organic Search,9882,4908,0.496660595,62.78688525,9.820684072,97048,41,0.004148958,5687.85
1/22/2025,Organic Search,9881,4852,0.491043417,62.93543164,10.06699727,99472,66,0.006679486,10608.52
12/11/2023,Direct,9879,5300,0.536491548,79.4090495,11.07470392,109407,119,0.011944529,18655.26
2/2/2023,Paid Search,9870,6675,0.676291793,84.16018237,7.058763931,69670,89,0.009017224,15079.95
4/13/2024,Direct,9869,2113,0.214104773,34.07670483,7.045901307,69536,138,0.00699159,20869.37
3/19/2023,Organic Search,9856,6147,0.623681006,70.58786526,6.652698864,65569,56,0.005681818,9233.8
1/16/2023,Organic Search,9851,6207,0.630088316,67.94426962,6.44178256,63458,67,0.00680134,10181.26
3/16/2024,Direct,9850,2172,0.220507614,34.35807107,7.094619289,69882,63,0.006294416,10776.38
9/27/2022,Organic Search,9842,6411,0.651391993,74.15921561,6.415057915,63137,82,0.00833164,10172.79
1/29/2025,Organic Search,9834,4920,0.500305064,67.45688428,10.44610535,102727,67,0.006711409,12927.87
2/27/2024,Direct,9833,4523,0.459981694,77.79131496,11.72632971,115305,141,0.014237771,23087.3
10/5/2022,Organic Search,9832,6340,0.644833198,72.70179007,6.487286412,63783,73,0.007424736,10290.38
11/1/2022,Organic Search,9830,6218,0.632553408,66.88423194,6.146897253,60424,89,0.009053917,10611.01
11/21/2022,Organic Search,9822,6009,0.611789859,66.27336591,6.165343107,60556,58,0.005803299,9603.82
2/28/2024,Direct,9821,4599,0.468282252,81.61052846,11.71550759,115058,159,0.015782507,27215.16
3/6/2024,Direct,9810,2815,0.28695209,50.71019368,8.660856269,84963,100,0.010091743,16363.24
2/18/2024,Direct,9808,4714,0.480628059,79.40579119,11.64508564,114215,116,0.01141925,17405.99
12/2/2024,Organic Search,9798,5089,0.519391713,68.23076138,11.1130843,108886,93,0.009491733,19132.82
7/11/2024,Direct,9792,6614,0.675449346,52.30964052,8.951797386,87656,64,0.006535948,14714.92
11/6/2022,Organic Search,9788,6318,0.645484266,75.00234982,6.807723743,66634,71,0.00725378,9569
12/13/2022,Organic Search,9782,6186,0.632386015,74.6112247,6.273563688,61368,73,0.007462687,13111.78
